Most Actives

GE , General Electric Co , 6.19 , 6.22 , 43929238 
F , Ford Motor Co , 5.12 , 5.16 , 43491812 
BAC , Bank of America Corp , 22.58 , 22.71 , 40025138 
MRO , Marathon Oil Corp , 5.75 , 5.83 , 29943234 
WFC , Wells Fargo & Co , 24.78 , 24.96 , 29549473 
DAL , Delta Air Lines Inc , 22.01 , 22.10 , 26386864 
CCL , Carnival Corp , 13.85 , 14.11 , 24050959 
NCLH , Norwegian Cruise Line Holdings Ltd , 11.73 , 12.16 , 22543659 
C , Citigroup Inc , 44.07 , 44.38 , 20036652 
OXY , Occidental Petroleum Corp , 15.03 , 15.26 , 17633706 
